;Complete mode;Method = 1.5;Method = 2.0;Method = 3.0;Class = 1.5;Class = 2.0;Class = 3.0
akka.net;0,099;0,107;0,114;0,111;0,116;0,115;0,112
AutoMapper;0,194;0,193;0,187;0,165;0,19;0,192;0,161
CefSharp;0,573;0,574;0,574;0,574;0,582;0,582;0,582
corefx;0,167;0,125;0,125;0,1;0,125;0,125;0,1
EntityFramework;0,059;0,063;0,063;0,072;0,056;0,06;0,061
gitextensions;0,338;0,345;0,357;0,359;0,345;0,333;0,332
Glimpse;0,202;0,207;0,202;0,177;0,208;0,236;0,236
Hearthstone-Deck-Tracker;0,109;0,113;0,118;0,121;0,11;0,11;0,11
ILSpy;0,213;0,216;0,221;0,193;0,205;0,204;0,196
MahApps.Metro;0,573;0,573;0,573;0,561;0,573;0,571;0,579
Mvc;0,153;0,16;0,16;0,159;0,154;0,151;0,141
Nancy;0,385;0,418;0,413;0,429;0,409;0,406;0,401
NLog;0,257;0,261;0,261;0,261;0,261;0,257;0,24
OpenRA;0,145;0,149;0,142;0,145;0,16;0,21;0,191
orleans;0,167;0,139;0,127;0,118;0,222;0,556;0,556
roslyn;0,249;0,242;0,236;0,192;0,236;0,192;0,16
ShareX;0,144;0,142;0,144;0,149;0,162;0,154;0,148
SparkleShare;0,441;0,45;0,453;0,449;0,442;0,443;0,425
VsVim;0,055;0,055;0,056;0,05;0,055;0,055;0,055
Wox;0,349;0,396;0,395;0,384;0,347;0,338;0,332
