"";"n";"Mean";"Std.Dev";"Median";"Min";"Max";"25th";"75th";"Skew";"Kurtosis"
"ScoreS";363;0,741;0,236;0,784;0;1;0,58;0,961;-0,759;-0,305
"FinalScore";363;0,526;0,139;0,528;0,19;1;0,432;0,6;0,449;0,383
"ClassNames";363;0,269;0,244;0,21;0;1,511;0,079;0,397;1,351;2,701
"Comments";363;0,156;0,157;0,129;0;0,706;0,001;0,242;0,973;0,401
"EnumNames";363;0,109;0,254;0;0;1,208;0;0,028;2,658;6,483
"FieldNames";363;0,169;0,193;0,121;0;1,204;0;0,258;1,763;4,384
"InterfaceNames";363;0,077;0,185;0;0;1,081;0;0;2,905;8,623
"MethodNames";363;0,203;0,171;0,166;0;1,011;0,082;0,277;1,587;3,624
"NamespaceNames";363;0,271;0,362;0,103;0;1,678;0;0,408;1,548;2,034
"ParameterNames";363;0,174;0,189;0,121;0;1,108;0;0,272;1,258;1,562
"PropertyNames";363;0,214;0,207;0,164;0;1,237;0,055;0,323;1,516;3,35
"StringLiterals";363;0,19;0,216;0,132;0;1,316;0;0,272;1,684;3,629
"StructNames";363;0,061;0,225;0;0;1,567;0;0;4,241;18,224
"VariableNames";363;0,183;0,198;0,138;0;1,617;0,016;0,282;2,319;10,202
